timestamp_eval,dt_eval,eps_eval,num_noise_eval,integrator_eval,network,L,m2,lambda,dt,eps,bs,integrator,num_noise,n_kernel,n_kernel_bond,n_basis,n_basis_bond,num_boots,logp_avg,logp_err,loss_avg,loss_err,part_avg,part_err,free_avg,free_err,ess_avg,ess_err,susc_avg,susc_err
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,hutch,32,21,20,20,20,2000,-6.884695529937744,0.1184794083237648,-15.895330429077148,0.017241761088371277,10578207.0,201515.984375,16.174463272094727,0.018990829586982727,0.5809186697006226,0.030431455001235008,0.02662622556090355,0.0007210530457086861
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,hutch,32,21,20,20,20,2000,-8.496158599853516,0.1227322518825531,-14.72641658782959,0.02745721861720085,4915301.5,162283.59375,15.40649700164795,0.03238151967525482,0.3231944143772125,0.0143040856346488,0.026356004178524017,0.0007737131672911346
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,hutch,32,21,20,20,20,2000,-7.016699314117432,0.12452242523431778,-15.8766508102417,0.02958786115050316,9669852.0,146201.34375,16.08500099182129,0.014876208268105984,0.6956889033317566,0.011679052375257015,0.02604605071246624,0.0007394018466584384
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,hutch,32,21,20,20,20,2000,-7.229738712310791,0.11797840148210526,-15.908198356628418,0.012229438871145248,9060184.0,100781.984375,16.019248962402344,0.010468803346157074,0.812463641166687,0.006977564189583063,0.025836104527115822,0.0007037214818410575
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,hutch,64,21,20,20,20,2000,-7.184226036071777,0.11490598320960999,-15.870278358459473,0.014975502155721188,9434827.0,140261.609375,16.058917999267578,0.014745848253369331,0.6967051029205322,0.01297883503139019,0.026113372296094894,0.0007501457002945244
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,hutch,64,21,20,20,20,2000,-8.099815368652344,0.1249161958694458,-14.803885459899902,0.0226924829185009,4235794.5,105182.2265625,15.258813858032227,0.024817992001771927,0.436533123254776,0.022247007116675377,0.02665696293115616,0.0007796169375069439
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,2000,hutch,64,21,20,20,20,2000,-7.080470085144043,0.11728987097740173,-15.902934074401855,0.011383420787751675,8972315.0,93928.6796875,16.009851455688477,0.010593893937766552,0.81912761926651,0.006826462689787149,0.025659622624516487,0.0007154454360716045
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,2000,hutch,32,21,20,20,20,2000,-7.077546119689941,0.12379084527492523,-15.88807487487793,0.02395188994705677,8996602.0,90103.78125,16.01224136352539,0.010171627625823021,0.8316437602043152,0.00807763822376728,0.026072246953845024,0.0007221022387966514
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,hutch,64,21,20,20,20,2000,-7.181950569152832,0.11769551038742065,-15.903665542602539,0.01187125127762556,9173657.0,107722.703125,16.031484603881836,0.012029369361698627,0.7775920629501343,0.011126257479190826,0.026457663625478745,0.0007511416333727539
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,hutch,64,21,20,20,20,2000,-7.372336387634277,0.1183285340666771,-15.883810997009277,0.01723361760377884,8813675.0,86151.8828125,15.991769790649414,0.00989645067602396,0.8341257572174072,0.00929776206612587,0.025288952514529228,0.0006889221258461475
